Method,Mean Acc.,$C_1$,$C_2$,$C_3$,$C_4$,$C_5$
StudentExpert-num_gurus_train-1-num_gurus_test-1,$91.75 \pm 0.39$,$93.05 \pm 0.85$,$89.95 \pm 1.07$,$92.08 \pm 0.42$,$92.90 \pm 0.15$,$90.79 \pm 0.33$
GEM,$95.78 \pm 0.22$,$98.39 \pm 0.23$,$95.19 \pm 0.65$,$94.98 \pm 0.76$,$95.79 \pm 0.35$,$94.55 \pm 0.33$
Replay,$72.95 \pm 1.76$,$80.85 \pm 3.00$,$60.96 \pm 4.77$,$51.45 \pm 6.30$,$74.20 \pm 4.73$,$97.27 \pm 0.35$
GDumb,$54.27 \pm 5.31$,$82.82 \pm 10.73$,$53.10 \pm 11.90$,$35.31 \pm 17.97$,$52.37 \pm 19.76$,$47.76 \pm 21.75$
MIR,$52.42 \pm 10.00$,$60.00 \pm 21.01$,$57.34 \pm 14.61$,$64.48 \pm 22.05$,$0.12 \pm 0.21$,$80.16 \pm 14.99$
AGEM,$28.76 \pm 6.70$,$28.79 \pm 16.50$,$8.83 \pm 9.20$,$0.15 \pm 0.34$,$8.29 \pm 11.52$,$97.72 \pm 0.34$
CoPE,$11.24 \pm 3.40$,$9.57 \pm 18.87$,$0.13 \pm 0.37$,$4.16 \pm 8.10$,$23.03 \pm 19.46$,$19.31 \pm 21.04$
probabilistic_better-balanced_accuracy_score-num_gurus-1,$43.27 \pm 3.38$,$73.18 \pm 14.16$,$2.45 \pm 5.10$,$93.28 \pm 4.34$,$35.88 \pm 17.49$,$11.54 \pm 17.10$
MAS,$25.26 \pm 3.18$,$18.04 \pm 11.09$,$1.99 \pm 2.87$,$0.34 \pm 0.57$,$9.48 \pm 8.93$,$96.47 \pm 0.26$
CWR,$19.98 \pm 0.01$,$99.88 \pm 0.05$,$0.00 \pm 0.00$,$0.00 \pm 0.00$,$0.00 \pm 0.00$,$0.00 \pm 0.00$
LFL,$19.46 \pm 0.08$,$0.00 \pm 0.00$,$0.00 \pm 0.00$,$0.00 \pm 0.00$,$0.00 \pm 0.00$,$97.31 \pm 0.40$
single_Net,$19.44 \pm 0.05$,$0.00 \pm 0.00$,$0.00 \pm 0.00$,$0.00 \pm 0.00$,$0.00 \pm 0.00$,$97.19 \pm 0.26$
SynapticIntelligence,$19.43 \pm 0.08$,$0.00 \pm 0.00$,$0.00 \pm 0.00$,$0.00 \pm 0.00$,$0.00 \pm 0.00$,$97.13 \pm 0.42$
RWalk,$19.43 \pm 0.06$,$0.00 \pm 0.00$,$0.00 \pm 0.00$,$0.00 \pm 0.00$,$0.00 \pm 0.00$,$97.17 \pm 0.28$
TrainGeneratorAfterExp,$19.41 \pm 0.07$,$0.00 \pm 0.00$,$0.00 \pm 0.00$,$0.00 \pm 0.00$,$0.00 \pm 0.00$,$97.03 \pm 0.37$
EWC,$19.38 \pm 0.15$,$0.00 \pm 0.00$,$0.00 \pm 0.00$,$0.00 \pm 0.00$,$0.00 \pm 0.00$,$96.89 \pm 0.75$
LwF,$19.37 \pm 0.14$,$0.00 \pm 0.00$,$0.00 \pm 0.00$,$0.00 \pm 0.00$,$0.00 \pm 0.00$,$96.87 \pm 0.70$
full-ensemble,$19.28 \pm 0.08$,$0.00 \pm 0.00$,$0.00 \pm 0.00$,$0.00 \pm 0.00$,$0.00 \pm 0.00$,$96.40 \pm 0.41$
