,name,mean,std
0,probabilistic_better-balanced_accuracy_score-num_gurus-1,0.4079421855509281,0.03873645686829994
1,probabilistic_weighted-balanced_accuracy_score-num_gurus-1,0.38886971943080423,0.07282921399860413
2,probabilistic_better-accuracy_score-num_gurus-1,0.37886460531502963,0.03132058148577527
3,random_better-balanced_accuracy_score-num_gurus-1,0.3780284172529355,0.04125736650317753
4,random_better-f1_score-num_gurus-1,0.37053417914547027,0.047966893697531626
5,probabilistic_weighted-accuracy_score-num_gurus-1,0.3673064582236111,0.061013400143565426
6,probabilistic_better-f1_score-num_gurus-1,0.36343743933364747,0.04941565566922179
7,probabilistic_weighted-f1_score-num_gurus-1,0.36205743155442177,0.07383446556315014
8,max_diversity-accuracy_score-num_gurus-1,0.3483986019622535,0.06017582781647152
9,max_diversity-f1_score-num_gurus-1,0.3389408534765244,0.08512637763874129
10,probabilistic_weighted-f1_score-num_gurus-2,0.33162855717353523,0.04178441383020928
11,max_diversity-balanced_accuracy_score-num_gurus-2,0.3309829285368323,0.04771152336137019
12,random_better-accuracy_score-num_gurus-1,0.33040722579928117,0.061435518616953025
13,max_diversity-f1_score-num_gurus-4,0.32962825819849967,0.025897857342669646
14,random_better-balanced_accuracy_score-num_gurus-2,0.3292239709943533,0.0971569957221718
15,max_diversity-f1_score-num_gurus-2,0.32245174296200274,0.06923701599705084
16,max_diversity-f1_score-num_gurus-3,0.3222915473859757,0.012686459338842306
17,max_diversity-balanced_accuracy_score-num_gurus-1,0.3173232023185119,0.09704089864672887
18,max_diversity-balanced_accuracy_score-num_gurus-4,0.31614696104079487,0.036811274090789915
19,random_better-balanced_accuracy_score-num_gurus-4,0.3122096807509661,0.007768198002004547
20,max_diversity-accuracy_score-num_gurus-4,0.3119853954017162,0.028946538103994623
21,max_diversity-accuracy_score-num_gurus-3,0.31014311671257017,0.030942362648017557
22,random_better-accuracy_score-num_gurus-3,0.30853893332183363,0.014190415940053904
23,probabilistic_better-balanced_accuracy_score-num_gurus-3,0.30614735566079615,0.014576952733374776
24,probabilistic_better-accuracy_score-num_gurus-3,0.30540860652923585,0.008862618257519501
25,random_better-f1_score-num_gurus-4,0.30307001419365404,0.01979082965389216
26,probabilistic_better-balanced_accuracy_score-num_gurus-2,0.3026279629021883,0.042755198404737446
27,random_better-accuracy_score-num_gurus-2,0.30246285614557566,0.0445810087681791
28,probabilistic_better-f1_score-num_gurus-4,0.30199635930359364,0.015864259592126055
29,probabilistic_better-accuracy_score-num_gurus-2,0.29805865364382045,0.01836500811725472
30,probabilistic_weighted-f1_score-num_gurus-4,0.296811446249485,0.01588476080097928
31,random_better-f1_score-num_gurus-2,0.29515530354343356,0.02967624937966935
32,probabilistic_better-accuracy_score-num_gurus-4,0.29386031106114385,0.02004669264664652
33,probabilistic_better-f1_score-num_gurus-3,0.29315335296094414,0.01806263175898809
34,probabilistic_weighted-balanced_accuracy_score-num_gurus-4,0.2925749123096466,0.026011947291489482
35,probabilistic_weighted-f1_score-num_gurus-3,0.29254793378524485,0.01934689175728241
36,random_better-balanced_accuracy_score-num_gurus-3,0.2909529167413712,0.007029549688419851
37,probabilistic_weighted-balanced_accuracy_score-num_gurus-3,0.2876669319719076,0.013326674804652845
38,probabilistic_weighted-balanced_accuracy_score-num_gurus-2,0.2871001649228856,0.035913066473298665
39,probabilistic_weighted-accuracy_score-num_gurus-3,0.2865446813683957,0.013686324221700404
40,probabilistic_better-f1_score-num_gurus-2,0.28596248282585296,0.03417024904395038
41,random_better-f1_score-num_gurus-3,0.28521943796426064,0.030018015791740828
42,max_diversity-balanced_accuracy_score-num_gurus-3,0.2838401315361262,0.024346898945929677
43,probabilistic_better-balanced_accuracy_score-num_gurus-4,0.28184222269803283,0.025286259751590903
44,random_better-accuracy_score-num_gurus-4,0.2811150006949902,0.02463867077372605
45,probabilistic_weighted-accuracy_score-num_gurus-4,0.27732086524367333,0.016004837891631034
46,probabilistic_weighted-accuracy_score-num_gurus-2,0.26732069882564247,0.0296541882903987
47,max_diversity-accuracy_score-num_gurus-2,0.2587185968365521,0.027898193292402906
48,SynapticIntelligence,0.19476500496031748,0.0005117219091649314
49,LwF,0.19439453125,0.0007478199109014365
50,EWC,0.19337890624999998,0.0020178721122331177
51,full-ensemble,0.19292472720146178,0.0003487407609327617
52,single_Net,0.17165054567158222,0.034990920815841216
